RF00005	6367519	tRNA
RF00023	5671760	transfer-messenger RNA
RF01850	3472824	Betaproteobacteria transfer-messenger RNA
RF02543	2179950	Eukaryotic large subunit ribosomal RNA
RF01684	1841453	MALAT1-associated small cytoplasmic RNA/MEN beta RNA
RF01960	1064714	Eukaryotic small subunit ribosomal RNA
RF02540	666078	Archaeal large subunit ribosomal RNA
RF02541	476944	Bacterial large subunit ribosomal RNA
RF00002	473140	5.8S ribosomal RNA
RF02542	279122	Microsporidia small subunit ribosomal RNA
RF00177	189011	Bacterial small subunit ribosomal RNA
RF01959	173387	Archaeal small subunit ribosomal RNA
RF00262	88109	sar RNA
RF02553	50113	Y RNA-like
RF02942	37071	Clostridiales-3 RNA
RF01851	30523	Cyanobacteria transfer-messenger RNA
RF00001	30481	5S ribosomal RNA
RF00003	28903	U1 spliceosomal RNA
RF01499	26873	A. fumigatus snoRNA Afu_191
RF01860	25951	A. fumigatus snoRNA Afu_455
RF01852	22120	Selenocysteine transfer RNA
RF01849	21563	Alphaproteobacteria transfer-messenger RNA
RF01506	21238	A. fumigatus snoRNA Afu_294
RF01716	16260	PhotoRC-I RNA
RF00274	14637	Small nucleolar RNA SNORD57
RF01184	13769	Small nucleolar RNA snR79
RF00767	12343	microRNA mir-150
RF04096	12122	mir-4433 microRNA precursor family
RF03158	11904	L31-Actinobacteria ribosomal protein leader
RF02348	10747	Trans-activating crRNA
RF00657	10151	microRNA mir-184
RF03301	9436	mir-3154 microRNA precursor family
RF00233	9075	Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element
RF00004	9060	U2 spliceosomal RNA
RF01675	8956	Pseudomonas sRNA CrcZ
RF03406	8955	mir-3099 microRNA precursor family
RF00358	8904	Small nucleolar RNA Z101
RF00032	8806	Histone 3' UTR stem-loop
RF04240	8720	mir-4716 microRNA precursor family
RF03837	8035	mir-3138 microRNA precursor family
RF01106	7969	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF02272	7418	Vax2os1 conserved region 3
RF02795	7217	Pab91 RNA
RF01833	6240	ribosomal frameshift site
RF02919	6177	ilvB-OMG RNA
RF04132	5989	mir-4436 microRNA precursor family
RF01064	5223	microRNA mir-253
RF03310	4545	mir-1544 microRNA precursor family
RF03872	4357	MIR6426 microRNA precursor family
RF00884	4346	microRNA MIR815
RF02975	4328	DUF3800-XI RNA
RF00009	3887	Nuclear RNase P
RF01335	3884	CRISPR RNA direct repeat element
RF03302	3292	mir-6133 microRNA precursor family
RF02288	3272	Tetrahymena snoRNA TtnuCD11
RF01306	3071	Small nucleolar RNA sR52
RF04209	2993	MIR7533 microRNA precursor family
RF01304	2985	Small nucleolar RNA sR5
RF01052	2980	Arthropod 7SK RNA
RF00026	2785	U6 spliceosomal RNA
RF03849	2671	MIR1219 microRNA precursor family
RF04217	2650	mir-297 microRNA precursor family
RF00645	2475	microRNA MIR169_2
RF01059	2459	microRNA mir-598
RF03834	2417	mir-3173 microRNA precursor family
RF01986	2314	ZEB2 antisense RNA 1 conserved region 3
RF00467	2232	Rous sarcoma virus (RSV) primer binding site (PBS)
RF00730	2183	microRNA mir-277
RF03010	2052	mcrA RNA
RF00241	1863	mir-8/mir-141/mir-200 microRNA precursor family
RF02174	1731	SMAD5 antisense RNA 1 conserved region 2
RF00015	1678	U4 spliceosomal RNA
RF04175	1668	mir-1260b microRNA precursor family
RF01171	1649	Small nucleolar RNA snoR4
RF03707	1559	mir-1892 microRNA precursor family
RF03565	1549	mir-1282 microRNA precursor family
RF04176	1526	mir-3149 microRNA precursor family
RF00014	1467	DsrA RNA
RF01159	1462	Small nucleolar RNA U18
RF02162	1460	XIST RNA A repeat
RF01543	1455	Trypanosomatid snoRNA TB11Cs5H2
RF02416	1413	Turnip crinkle virus 3'UTR
RF03437	1344	mir-2392 microRNA precursor family
RF04044	1319	mir-7939 microRNA precursor family
RF01264	1313	Small nucleolar RNA snR83
RF00047	1312	mir-2 microRNA precursor
RF02546	1286	Trypanosomatid mitochondrial large subunit ribosomal RNA
RF00017	1274	Metazoan signal recognition particle RNA
RF01015	1249	microRNA mir-885
RF01295	1246	Small Cajal body-specific RNA 7
RF01726	1225	SAM-II riboswitch aptamer (SAM-II long loop)
RF00829	1199	microRNA mir-149
RF03726	1178	mir-m21-1 microRNA precursor family
RF00637	1145	microRNA mir-276
RF01825	1121	RNA of unknown function 21
RF03778	1116	mir-483 microRNA precursor family
RF01390	1101	isrG Hfq binding RNA
RF04250	1075	mir-236 microRNA precursor family
RF00323	1038	Small nucleolar RNA R79
RF00954	1027	MIR1446 microRNA precursor family
RF00757	1024	microRNA mir-275
RF00381	1024	Antizyme RNA frameshifting stimulation element
RF00089	1010	Small nucleolar RNA SNORD31
RF03537	1008	Tick-borne Flavivirus short stem-loop SL6
RF03734	1002	mir-4773 microRNA precursor family
RF02193	989	T-cell leukemia/lymphoma 6 conserved region 3
RF01173	988	Small nucleolar RNA U105B
RF03964	977	mir-H1 microRNA precursor family
RF03861	973	mir-4484 microRNA precursor family
RF00752	967	microRNA mir-14
RF04052	962	mir-466 microRNA precursor family
RF04154	919	mir-1277 microRNA precursor family
RF01871	914	Metastasis associated lung adenocarcinoma transcript 1
RF01188	913	Small nucleolar RNA snR56
RF01834	883	ribosomal frameshift site
RF00506	883	Threonine operon leader
RF01668	880	Pseudomonas sRNA P10
RF00551	871	Bicoid 3'-UTR regulatory element
RF01195	827	Small nucleolar RNA snR52
RF02803	820	Pyrobaculum sRNA 205
RF03946	815	mir-3132 microRNA precursor family
RF01897	810	microRNA mir-188
RF02914	808	DUF805b RNA
RF00523	802	Prion pseudoknot
RF02677	789	Nitrogen stress-induced RNA 4
RF00174	786	Cobalamin riboswitch aptamer
RF00772	781	microRNA mir-328
RF02438	780	Streptococcus sRNA SpF51
RF00619	777	U6atac minor spliceosomal RNA
RF00309	767	Small nucleolar RNA snR60/Z15/Z230/Z193/J17
RF00942	762	microRNA mir-1224
RF04279	756	mir-H20 microRNA precursor family
RF01297	756	Small nucleolar RNA sR40
RF01130	753	Small nucleolar RNA sR46
RF00133	746	Small nucleolar RNA Z195/SNORD33/SNORD32 family
RF01769	727	Enterobacteria greA leader
RF01975	723	HOX antisense intergenic RNA myeloid 1 conserved region 1
RF01977	722	HOX antisense intergenic RNA myeloid 1 conserved region 3
RF00064	719	HgcG RNA (Pab40)
RF02837	714	Burkholderia RNA 7 (anti-hemB)
RF01918	699	microRNA mir-1249
RF01043	693	microRNA MIR1023
RF03092	691	Ocean-VII RNA
RF01772	681	Pseudomonas rnk leader
RF00732	679	microRNA mir-305
RF00519	677	Makes More Granules Regulator RNA (mmgR)
RF00279	672	Small nucleolar RNA SNORD45
RF03493	653	mir-1281 microRNA precursor family
RF00489	645	ctRNA
RF04226	643	mir-9186 microRNA precursor family
RF02624	641	Brucella sRNA 150
RF02953	639	DUF1874 RNA
RF00802	633	microRNA mir-207
RF00700	633	microRNA mir-375
RF03764	628	mir-647 microRNA precursor family
RF02401	624	ClpQY promoter
RF00020	620	U5 spliceosomal RNA
RF03558	615	mir-629 microRNA precursor family
RF04161	612	mir-3688 microRNA precursor family
RF01859	608	Phenylalanine leader peptide
RF02266	602	XIST 3' intron conserved motif
RF02596	594	Cyanobacteria heterocyst sRNA
RF02684	593	Type-P5 twister ribozyme
RF00618	586	U4atac minor spliceosomal RNA
RF01139	583	Small nucleolar RNA sR2
RF00276	579	Small nucleolar RNA SNORD52
RF02628	578	Hfq-regulated sRNA 1
RF01787	553	drz-agam-1 ribozyme
RF04083	550	MIR528 microRNA precursor family
RF03786	546	mir-9449 microRNA precursor family
RF01209	546	Small nucleolar RNA snR76
RF01792	544	ribosomal frameshift site
RF01273	544	Small nucleolar RNA sR34
RF00736	543	mir-320 microRNA precursor family
RF01423	540	small nucleolar RNA snoR117
RF01174	536	Small nucleolar RNA U43
RF03349	534	mir-3151 microRNA precursor family
RF01762	531	Whalefall-1 RNA
RF00879	529	microRNA mir-615
RF03486	527	mir-3940 microRNA precursor family
RF02501	527	Rhizobiales sRNA Atu_C7
RF00418	527	Small nucleolar RNA SNORA58
RF00070	526	Small nucleolar RNA SNORD29
RF00608	525	Small nucleolar RNA SNORD99
RF00470	523	Togavirus 5' plus strand cis-regulatory element
RF01073	514	Gag/pol translational readthrough site
RF03629	512	mir-641 microRNA precursor family
RF03836	510	mir-3547 microRNA precursor family
RF03261	509	mir-1759 microRNA precursor family
RF01577	508	Plasmodium RNase_P
RF03610	507	mir-H7 microRNA precursor family
RF02003	507	Group II catalytic intron D1-D4-4
RF01375	500	CRISPR RNA direct repeat element
RF00180	498	Renin stability regulatory element (REN-SRE)
RF03627	491	mir-9168 microRNA precursor family
RF01846	489	Fungal small nucleolar RNA U3
RF01346	484	CRISPR RNA direct repeat element
RF00223	474	bip internal ribosome entry site (IRES)
RF01072	471	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF00457	469	Mnt IRES
RF00661	468	mir-31 microRNA precursor family
RF01785	464	ribosomal frameshift site
RF00093	460	Small nucleolar RNA SNORD18
RF00331	452	Small nucleolar RNA Z169
RF00278	449	Small nucleolar RNA SNORD50
RF00049	447	Small nucleolar RNA SNORD36
RF03838	445	MIR8032 microRNA precursor family
RF04088	443	MIR812 microRNA precursor family
RF03006	442	M23 RNA
RF03474	440	mir-4766 microRNA precursor family
RF01847	437	Plant small nucleolar RNA U3
RF01790	436	ribosomal frameshift site
RF00707	432	microRNA mir-197
RF00104	429	mir-10 microRNA precursor family
RF01768	424	ribosomal frameshift site
RF00282	424	Small nucleolar RNA SNORD48
RF02249	419	Six3os1 conserved region 4
RF00096	419	U8 small nucleolar RNA
RF03948	417	mir-5045 microRNA precursor family
RF01309	416	Small nucleolar RNA sR60
RF04191	415	Hairpin ribozyme 2 from viruses-like metatranscriptomes
RF04136	414	MIR1862 microRNA precursor family
RF01181	411	Small nucleolar RNA snR77
RF01704	410	Glutamine-II riboswitch aptamer
RF01140	410	Small nucleolar RNA sR20
RF00646	402	microRNA mir-204
RF00112	401	CyaR/Rye RNA
RF00284	398	Small nucleolar RNA SNORD74
RF03924	393	mir-1228 microRNA precursor family
RF02492	392	Giardia U2 spliceosomal RNA
RF02289	392	Tetrahymena snoRNA TtnuCD13
RF03561	391	mir-3533 microRNA precursor family
RF00030	390	RNase MRP
RF00805	383	microRNA mir-351
RF03368	381	mir-1822 microRNA precursor family
RF00995	381	microRNA mir-616
RF01383	377	GRIK4 3 prime UTR element
RF03685	375	MIR9677 microRNA precursor family
RF00212	372	Small nucleolar RNA SNORD38
RF01277	369	Small nucleolar RNA U54
RF01323	367	CRISPR RNA direct repeat element
RF03090	363	lysM-Actino RNA
RF00473	361	Small nucleolar RNA snR54
RF02350	359	Nitrosomonas sRNA psRNA6
RF01307	359	Small nucleolar RNA sR55
RF03397	358	mir-1234 microRNA precursor family
RF03108	358	Methylosinus-1 RNA
RF02723	358	Small nucleolar RNA ZL1
RF01111	357	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01855	355	Plant signal recognition particle RNA
RF01312	350	Small nucleolar RNA sR9
RF00255	350	mir-218 microRNA precursor family
RF04119	349	MIR1858 microRNA precursor family
RF02399	347	Nitrogen stress-induced RNA 1
RF02247	347	Six3os1 conserved region 2
RF00289	347	Small nucleolar RNA SNORD104
RF00733	345	microRNA mir-296
RF00012	341	Small nucleolar RNA U3
RF04305	340	Hepatitis C virus stem-loop SL1412 RNA
RF04202	338	MIR5380 microRNA precursor family
RF03206	336	mir-3102 microRNA precursor family
RF00612	336	Small nucleolar RNA SNORD75
RF01987	335	ZEB2 antisense RNA 1 conserved region 4
RF02470	334	Mycobacterium sRNA Ms_IGR-8
RF00095	334	Pyrococcus C/D box small nucleolar RNA
RF03792	333	MIR6462 microRNA precursor family
RF04159	332	MIR1437 microRNA precursor family
RF02476	331	Small nucleolar RNA GlsR7
RF00622	328	Mammalian CPEB3 ribozyme
RF01099	326	Pseudoknot of influenza A virus gene
RF00222	326	Bag-1 internal ribosome entry site (IRES)
RF03911	325	mir-1910 microRNA precursor family
RF03873	325	mir-3192 microRNA precursor family
RF00557	325	Ribosomal protein L10 leader
RF01590	324	small nucleolar RNA snoR14
RF01281	324	Small nucleolar RNA snoR35
RF00270	324	Small nucleolar RNA SNORD61
RF03036	323	osmY RNA
RF02133	322	HOXB13 antisense RNA 1 conserved region 2
RF01526	321	C. elegans snoRNA ceN106
RF03156	320	L31-Firmicutes ribosomal protein leader
RF02843	320	Enterococcus sRNA A5
RF00747	319	microRNA mir-283
RF00912	318	microRNA mir-877
RF02099	314	rivX sRNA
RF00464	311	mir-92 microRNA precursor family
RF03149	310	RAGATH-12 RNA
RF02105	309	Deleted in lymphocytic leukemia 2 conserved region 1
RF02153	308	Neighbour of BRCA1 gene 2 converved region
RF02925	307	6A RNA
RF02291	307	Tetrahymena snoRNA TtnuCD15
RF00192	307	Bovine leukaemia virus RNA packaging signal
RF04128	306	MIR8562 microRNA precursor family
RF03365	306	mir-1236 microRNA precursor family
RF03050	306	RAGATH-25 RNA
RF02294	305	Tetrahymena snoRNA TtnuCD18
RF03623	304	mir-1252 microRNA precursor family
RF00522	303	PreQ1 (pre queuosine) riboswitch aptamer
RF03933	302	MIR6445 microRNA precursor family
RF02101	300	Highly up-regulated in liver cancer conserved region
RF03794	299	MIR5298 microRNA precursor family
RF01098	299	Gag/pro ribosomal frameshift site
RF02151	298	MER1 repeat containing imprinted transcript 1 conserved region 1
RF00838	298	mir-252 microRNA precursor family
RF01175	296	Small nucleolar RNA U83
RF02448	295	Streptococcus sRNA SpR20
RF01648	295	Caenorhabditis snoRNA ceN65
